Student,LPIPS,SSIM
112590040.png,0.0,1.0
113590036.png,0.2351568192243576,0.64009712874293
113590061.png,0.26751917600631714,0.6804963739381196
113370239.png,0.27637410163879395,0.6600996815765268
113AB0018.png,0.28607290983200073,0.618242658784912
113590015.png,0.2881203591823578,0.6406283069747385
113590044.png,0.28926748037338257,0.5994770946888752
112590452.png,0.2901984453201294,0.6005016726103596
113590045.png,0.2976472079753876,0.6063096845220588
113590033.png,0.309057354927063,0.6424558315949337
113590052.png,0.312046617269516,0.6429299320444504
113590018.png,0.3124936819076538,0.6127856549877236
113590021.png,0.3156049847602844,0.6273232363674763
113590051.png,0.31723323464393616,0.6451173872668438
113590039.png,0.3279363811016083,0.6544720267062426
113590050.png,0.32794567942619324,0.5901097290635703
112590455.png,0.3283374309539795,0.6108730651300238
111590047.png,0.3292805254459381,0.6190834320239941
113590001.png,0.33028653264045715,0.5970378462461229
111590062.png,0.3320721983909607,0.641806873073124
113590022.png,0.33544057607650757,0.6581906775355592
112590454.png,0.33616673946380615,0.5981853139663376
113590060.png,0.3376117944717407,0.6466260771181874
111590028.png,0.34182944893836975,0.6615911266393888
110590455.png,0.34351950883865356,0.6465971188670722
113590031.png,0.34918203949928284,0.6125872053174259
113590026.png,0.35397034883499146,0.6188585374117529
113590023.png,0.35645216703414917,0.5386496140685978
113590032.png,0.3650055527687073,0.6658330427434838
113590056.png,0.36714503169059753,0.6257640378894201
113590040.png,0.36766767501831055,0.6517740804143627
113590049.png,0.373017281293869,0.500797548360176
113590028.png,0.3765217959880829,0.5400755180786814
113590003.png,0.3773937225341797,0.6339396503008966
113AC1012.png,0.38344234228134155,0.5998056173014651
113590002.png,0.3846946954727173,0.5674501669068057
113590006.png,0.4078637361526489,0.5329133831527894
113590059.png,0.40843886137008667,0.4914718942630427
113590011.png,0.4112955927848816,0.5180187681915698
113590042.png,0.42728716135025024,0.5143067992339906
113590008.png,0.4294222593307495,0.45738970040490134
113590004.png,0.4360398054122925,0.6602821175621324
113590057.png,0.43888524174690247,0.5540333612863847
113590047.png,0.44622766971588135,0.661128369111294
112590058.jpg,0.45448940992355347,0.39448800474309403
113590043.png,0.4685840606689453,0.6714994954005556
113590025.png,0.47708815336227417,0.6714018514719462
113590010.png,0.4782010316848755,0.5381973969843467
111590042.png,0.5000823736190796,0.6715013245593963
111590455.png,0.5411199927330017,0.45049971826482493
